RED, GREEN, BLUE, WHITE, COLOR, 0 
10, 28, 21, 6, Red, 1 
10, 28, 21, 5, Red, 2 
10, 26, 20, 5, Red, 3 
11, 27, 21, 6, Red, 4 
11, 29, 22, 6, Red, 5 
9, 26, 19, 5, Red, 6 
10, 27, 21, 6, Red, 7 
9, 26, 19, 5, Red, 8 
10, 27, 20, 5, Red, 9 
10, 27, 21, 6, Red, 10 
8, 16, 18, 4, Orange, 11 
7, 15, 17, 4, Orange, 12 
8, 15, 17, 4, Orange, 13 
10, 15, 17, 4, Orange, 14 
8, 15, 17, 4, Orange, 15 
7, 14, 16, 3, Orange, 16 
8, 15, 17, 4, Orange, 17 
8, 15, 18, 4, Orange, 18 
8, 16, 18, 4, Orange, 19 
8, 16, 18, 4, Orange, 20 
8, 11, 16, 3, Yellow, 21 
8, 10, 16, 3, Yellow, 22 
8, 11, 16, 3, Yellow, 23 
8, 10, 15, 3, Yellow, 24 
7, 10, 16, 3, Yellow, 25 
8, 10, 16, 3, Yellow, 26 
8, 11, 15, 3, Yellow, 27 
7, 10, 15, 3, Yellow, 28 
7, 10, 15, 3, Yellow, 29 
8, 11, 16, 3, Yellow, 30 
17, 15, 20, 5, Green, 31 
17, 15, 19, 5, Green, 32 
18, 16, 20, 6, Green, 33 
18, 16, 21, 6, Green, 34 
19, 17, 21, 6, Green, 35 
19, 17, 21, 6, Green, 36 
18, 16, 20, 5, Green, 37 
18, 16, 21, 6, Green, 38 
17, 15, 20, 5, Green, 39 
18, 16, 20, 6, Green, 40 
25, 15, 11, 5, Blue, 41 
24, 16, 11, 5, Blue, 42 
22, 15, 11, 5, Blue, 43 
23, 15, 11, 4, Blue, 44 
23, 15, 11, 4, Blue, 45 
22, 14, 11, 4, Blue, 46 
22, 15, 11, 5, Blue, 47 
20, 14, 10, 4, Blue, 48 
24, 16, 12, 5, Blue, 49 
24, 15, 11, 4, Blue, 50 
15, 25, 14, 6, Purple, 51 
15, 25, 14, 6, Purple, 52 
13, 24, 14, 5, Purple, 53 
14, 25, 14, 5, Purple, 54 
15, 26, 14, 5, Purple, 55 
14, 25, 14, 5, Purple, 56 
14, 24, 14, 5, Purple, 57 
12, 24, 14, 5, Purple, 58 
15, 26, 14, 6, Purple, 59 
15, 26, 14, 6, Purple, 60 
8, 8, 7, 2, White, 61 
8, 8, 7, 2, White, 62 
7, 8, 6, 2, White, 63 
7, 8, 7, 2, White, 64 
7, 8, 6, 2, White, 65 
7, 8, 6, 2, White, 66 
5, 8, 7, 2, White, 67 
8, 8, 7, 2, White, 68 
7, 8, 6, 2, White, 69 
7, 8, 7, 2, White, 70 
54, 54, 45, 15, Black, 71 
56, 58, 48, 16, Black, 72 
55, 58, 48, 17, Black, 73 
54, 57, 47, 16, Black, 74 
58, 61, 50, 17, Black, 75 
55, 60, 50, 18, Black, 76 
56, 59, 49, 17, Black, 77 
55, 59, 49, 16, Black, 78 
52, 56, 47, 16, Black, 79 
50, 54, 45, 16, Black, 80 
